Name	Type	Nullable	References	Description
tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
ctid	tid	false		
partrelid	oid	false		"the oid of the pg_class entry for this partitioned table"
partstrat	char	false		"partitioning strategy; h = hash partitioned table, l = list partitioned table, r = range partitioned table"
partnatts	int2	false		"the number of columns in the partition key"
partdefid	oid	false		"the oid of the pg_class entry for the default partition of this partitioned table, or zero if this partitioned table does not have a default partition"
partattrs	int2vector	false		"this is an array of partnatts values that indicate which table columns are part of the partition key. for example, a value of 1 3 would mean that the first and the third table columns make up the partition key. a zero in this array indicates that the corresponding partition key column is an expression, rather than a simple column reference."
partclass	oidvector	false		"for each column in the partition key, this contains the oid of the operator class to use. see pg_opclass for details."
partcollation	oidvector	false		"for each column in the partition key, this contains the oid of the collation to use for partitioning, or zero if the column is not of a collatable data type."
partexprs	pg_node_tree	true		"expression trees (in nodetostring() representation) for partition key columns that are not simple column references. this is a list with one element for each zero entry in partattrs. null if all partition key columns are simple references."
