Index	Name	Type	Nullable	References	Description
1	amname	name			"name of the access method"
2	amstrategies	int2			"number of operator strategies for this access method, or zero if access method does not have a fixed set of operator strategies"
3	amsupport	int2			"number of support routines for this access method"
4	amcanorder	bool			"does the access method support ordered scans?"
5	amcanbackward	bool			"does the access method support backward scanning?"
6	amcanunique	bool			"does the access method support unique indexes?"
7	amcanmulticol	bool			"does the access method support multicolumn indexes?"
8	amoptionalkey	bool			"does the access method support a scan without any constraint for the first index column?"
9	amindexnulls	bool			"does the access method support null index entries?"
10	amsearchnulls	bool			"does the access method support is null/not null searches?"
11	amstorage	bool			"can index storage data type differ from column data type?"
12	amclusterable	bool			"can an index of this type be clustered on?"
13	amkeytype	oid		pg_type.oid	"type of data stored in index, or zero if not a fixed type"
14	aminsert	regproc		pg_proc.oid	"""insert this tuple"" function"
15	ambeginscan	regproc		pg_proc.oid	"""start new scan"" function"
16	amgettuple	regproc		pg_proc.oid	"""next valid tuple"" function, or zero if none"
17	amgetbitmap	regproc		pg_proc.oid	"""fetch all valid tuples"" function, or zero if none"
18	amrescan	regproc		pg_proc.oid	"""restart this scan"" function"
19	amendscan	regproc		pg_proc.oid	"""end this scan"" function"
20	ammarkpos	regproc		pg_proc.oid	"""mark current scan position"" function"
21	amrestrpos	regproc		pg_proc.oid	"""restore marked scan position"" function"
22	ambuild	regproc		pg_proc.oid	"""build new index"" function"
23	ambulkdelete	regproc		pg_proc.oid	"bulk-delete function"
24	amvacuumcleanup	regproc		pg_proc.oid	"post-vacuum cleanup function"
25	amcostestimate	regproc		pg_proc.oid	"function to estimate cost of an index scan"
26	amoptions	regproc		pg_proc.oid	"function to parse and validate reloptions for an index"
