Index	Name	Type	Nullable	References	Description
0	oid	OID			"row identifier (hidden attribute; must be explicitly selected)"
1	tgrelid	OID		pg_class.oid	"the table this trigger is on"
2	tgname	NAME			"trigger name (must be unique among triggers of same table)"
3	tgfoid	OID		pg_proc.oid	"the function to be called"
4	tgtype	INT2			"bit mask identifying trigger firing conditions"
5	tgenabled	CHAR			"controls in which session_replication_role modes the trigger fires. o = trigger fires in ""origin"" and ""local"" modes, d = trigger is disabled, r = trigger fires in ""replica"" mode, a = trigger fires always."
6	tgisinternal	BOOL			"true if trigger is internally generated (usually, to enforce the constraint identified by tgconstraint)"
7	tgconstrrelid	OID		pg_class.oid	"the table referenced by a referential integrity constraint"
8	tgconstrindid	OID		pg_class.oid	"the index supporting a unique, primary key, referential integrity, or exclusion constraint"
9	tgconstraint	OID		pg_constraint.oid	"the pg_constraint entry associated with the trigger, if any"
10	tgdeferrable	BOOL			"true if constraint trigger is deferrable"
11	tginitdeferred	BOOL			"true if constraint trigger is initially deferred"
12	tgnargs	INT2			"number of argument strings passed to trigger function"
13	tgattr	INT2VECTOR		pg_attribute.attnum	"column numbers, if trigger is column-specific; otherwise an empty array"
14	tgargs	BYTEA			"argument strings to pass to trigger, each null-terminated"
15	tgqual	PG_NODE_TREE			"expression tree (in nodetostring() representation) for the trigger's when condition, or null if none"
16	tgoldtable	NAME			"referencing clause name for old table, or null if none"
17	tgnewtable	NAME			"referencing clause name for new table, or null if none"
