Name	Type	References	Description
locktype	text		"type of the lockable object: relation, extend, frozenid, page, tuple, transactionid, virtualxid, spectoken, object, userlock, or advisory. (see also table 27.11.)"
database	oid		"oid of the database in which the lock target exists, or zero if the target is a shared object, or null if the target is a transaction id"
relation	oid		"oid of the relation targeted by the lock, or null if the target is not a relation or part of a relation"
page	int4		"page number targeted by the lock within the relation, or null if the target is not a relation page or tuple"
tuple	int2		"tuple number targeted by the lock within the page, or null if the target is not a tuple"
virtualxid	text		"virtual id of the transaction targeted by the lock, or null if the target is not a virtual transaction id"
transactionid	xid		"id of the transaction targeted by the lock, or null if the target is not a transaction id"
classid	oid		"oid of the system catalog containing the lock target, or null if the target is not a general database object"
objid	oid		"oid of the lock target within its system catalog, or null if the target is not a general database object"
objsubid	int2		"column number targeted by the lock (the classid and objid refer to the table itself), or zero if the target is some other general database object, or null if the target is not a general database object"
virtualtransaction	text		"virtual id of the transaction that is holding or awaiting this lock"
pid	int4		"process id of the server process holding or awaiting this lock, or null if the lock is held by a prepared transaction"
mode	text		"name of the lock mode held or desired by this process"
granted	bool		"true if lock is held, false if lock is awaited"
fastpath	bool		"true if lock was taken via fast path, false if taken via main lock table"
