Name	Type	References	Description
oid	oid		"row identifier (hidden attribute; must be explicitly selected)"
oprname	name		"name of the operator"
oprnamespace	oid	pg_namespace.oid	"the oid of the namespace that contains this operator"
oprowner	oid	pg_authid.oid	"owner of the operator"
oprkind	char		"b = infix (""both""), l = prefix (""left""), r = postfix (""right"")"
oprcanmerge	bool		"this operator supports merge joins"
oprcanhash	bool		"this operator supports hash joins"
oprleft	oid	pg_type.oid	"type of the left operand"
oprright	oid	pg_type.oid	"type of the right operand"
oprresult	oid	pg_type.oid	"type of the result"
oprcom	oid	pg_operator.oid	"commutator of this operator, if any"
oprnegate	oid	pg_operator.oid	"negator of this operator, if any"
oprcode	regproc	pg_proc.oid	"function that implements this operator"
oprrest	regproc	pg_proc.oid	"restriction selectivity estimation function for this operator"
oprjoin	regproc	pg_proc.oid	"join selectivity estimation function for this operator"
