Name	Type	Nullable	References	Description
cache_size	int8			"cache size of the sequence"
cycle	bool			"whether the sequence cycles"
data_type	regtype		pg_type.oid	"data type of the sequence"
increment_by	int8			"increment value of the sequence"
last_value	int8			"the last sequence value written to disk. if caching is used, this value can be greater than the last value handed out from the sequence. null if the sequence has not been read from yet. also, if the current user does not have usage or select privilege on the sequence, the value is null."
max_value	int8			"maximum value of the sequence"
min_value	int8			"minimum value of the sequence"
schemaname	name		pg_namespace.nspname	"name of schema containing sequence"
sequencename	name		pg_class.relname	"name of sequence"
sequenceowner	name		pg_authid.rolname	"name of sequence's owner"
start_value	int8			"start value of the sequence"
