Name	Type	References	Description
tgrelid	oid	pg_class.oid	"the table this trigger is on"
tgname	name		"trigger name (must be unique among triggers of same table)"
tgfoid	oid	pg_proc.oid	"the function to be called"
tgtype	int2		"bitmask identifying trigger conditions"
tgenabled	bool		"true if trigger is enabled (not presently checked everywhere it should be, so disabling a trigger by setting this false does not work reliably)"
tgisconstraint	bool		"true if trigger implements an ri constraint"
tgconstrname	name		"ri constraint name"
tgconstrrelid	oid	pg_class.oid	"the table referenced by an ri constraint"
tgdeferrable	bool		"true if deferrable"
tginitdeferred	bool		"true if initially deferred"
tgnargs	int2		"number of argument strings passed to trigger function"
tgattr	int2vector		"currently unused"
tgargs	bytea		"argument strings to pass to trigger, each null-terminated"
