Name	Type	Nullable	References	Description
boot_val	text			"parameter value assumed at server startup if the parameter is not otherwise set"
category	text			"logical group of the parameter"
context	text			"context required to set the parameter's value"
enumvals	text[]			"allowed values of an enum parameter (null for non-enum values)"
extra_desc	text			"additional, more detailed, description of the parameter"
max_val	text			"maximum allowed value of the parameter (null for non-numeric values)"
min_val	text			"minimum allowed value of the parameter (null for non-numeric values)"
name	text			"run-time configuration parameter name"
reset_val	text			"value that reset would reset the parameter to in the current session"
setting	text			"current value of the parameter"
short_desc	text			"a brief description of the parameter"
source	text			"source of the current parameter value"
sourcefile	text			"configuration file the current value was set in (null for values set from sources other than configuration files, or when examined by a non-superuser). helpful when using configuration include directives"
sourceline	int4			"line number within the configuration file the current value was set at (null for values set from sources other than configuration files, or when examined by a non-superuser)"
unit	text			"implicit unit of the parameter"
vartype	text			"parameter type (bool, enum, integer, real, or string)"
