Name	Type	References	Description
schemaname	name		"name of schema containing sequence"
sequencename	name		"name of sequence"
sequenceowner	name		"name of sequence's owner"
data_type	regtype		"data type of the sequence"
start_value	int8		"start value of the sequence"
min_value	int8		"minimum value of the sequence"
max_value	int8		"maximum value of the sequence"
increment_by	int8		"increment value of the sequence"
cycle	bool		"whether the sequence cycles"
cache_size	int8		"cache size of the sequence"
last_value	int8		"the last sequence value written to disk. if caching is used, this value can be greater than the last value handed out from the sequence. null if the sequence has not been read from yet. also, if the current user does not have usage or select privilege on the sequence, the value is null."
