Index	Name	Type	Nullable	References	Description
0	datname	name			"database name"
1	datdba	oid		pg_authid.oid	"owner of the database, usually the user who created it"
2	encoding	int4			"character encoding for this database (pg_encoding_to_char() can translate this number to the encoding name)"
3	datcollate	name			"lc_collate for this database"
4	datctype	name			"lc_ctype for this database"
5	datistemplate	bool			"if true then this database can be used in the template clause of create database to create a new database as a clone of this one"
6	datallowconn	bool			"if false then no one can connect to this database. this is used to protect the template0 database from being altered."
7	datconnlimit	int4			"sets maximum number of concurrent connections that can be made to this database. -1 means no limit."
8	datlastsysoid	oid			"last system oid in the database; useful particularly to pg_dump"
9	datfrozenxid	xid			"all transaction ids before this one have been replaced with a permanent (""frozen"") transaction id in this database. this is used to track whether the database needs to be vacuumed in order to prevent transaction id wraparound or to allow pg_clog to be shrunk. it is the minimum of the per-table pg_class.relfrozenxid values."
10	dattablespace	oid		pg_tablespace.oid	"the default tablespace for the database. within this database, all tables for which pg_class.reltablespace is zero will be stored in this tablespace; in particular, all the non-shared system catalogs will be there."
11	datacl	aclitem[]			"access privileges; see grant and revoke for details"
