Name	Type	References	Description
tgrelid	oid	pg_class.oid	"the table this trigger is on"
tgname	name		"trigger name (must be unique among triggers of same table)"
tgfoid	oid	pg_proc.oid	"the function to be called"
tgtype	int2		"bit mask identifying trigger conditions"
tgenabled	char		"controls in which session_replication_role modes the trigger fires. o = trigger fires in ""origin"" and ""local"" modes, d = trigger is disabled, r = trigger fires in ""replica"" mode, a = trigger fires always."
tgisconstraint	bool		"true if trigger is a ""constraint trigger"""
tgconstrname	name		"constraint name, if a constraint trigger"
tgconstrrelid	oid	pg_class.oid	"the table referenced by a referential integrity constraint"
tgconstraint	oid	pg_constraint.oid	"the pg_constraint entry owning the trigger, if any"
tgdeferrable	bool		"true if constraint trigger is deferrable"
tginitdeferred	bool		"true if constraint trigger is initially deferred"
tgnargs	int2		"number of argument strings passed to trigger function"
tgattr	int2vector		"currently unused"
tgargs	bytea		"argument strings to pass to trigger, each null-terminated"
