Name	Type	References	Description
locktype	text		"type of the lockable object: relation, extend, page, tuple, transactionid, object, userlock, or advisory"
database	oid	pg_database.oid	"oid of the database in which the object exists, or zero if the object is a shared object, or null if the object is a transaction id"
relation	oid	pg_class.oid	"oid of the relation, or null if the object is not a relation or part of a relation"
page	integer		"page number within the relation, or null if the object is not a tuple or relation page"
tuple	smallint		"tuple number within the page, or null if the object is not a tuple"
transactionid	xid		"id of a transaction, or null if the object is not a transaction id"
classid	oid	pg_class.oid	"oid of the system catalog containing the object, or null if the object is not a general database object"
objid	oid	"any oid column"	"oid of the object within its system catalog, or null if the object is not a general database object"
objsubid	smallint		"for a table column, this is the column number (the classid and objid refer to the table itself). for all other object types, this column is zero. null if the object is not a general database object"
transaction	xid		"id of the transaction that is holding or awaiting this lock"
pid	integer		"process id of the server process holding or awaiting this lock. null if the lock is held by a prepared transaction"
mode	text		"name of the lock mode held or desired by this process"
granted	boolean		"true if lock is held, false if lock is awaited"
