Index	Name	Type	Nullable	References	Description
1	name	text			"run-time configuration parameter name"
2	setting	text			"current value of the parameter"
3	unit	text			"implicit unit of the parameter"
4	category	text			"logical group of the parameter"
5	short_desc	text			"a brief description of the parameter"
6	extra_desc	text			"additional, more detailed, description of the parameter"
7	context	text			"context required to set the parameter's value"
8	vartype	text			"parameter type (bool, enum, integer, real, or string)"
9	source	text			"source of the current parameter value"
10	min_val	text			"minimum allowed value of the parameter (null for non-numeric values)"
11	max_val	text			"maximum allowed value of the parameter (null for non-numeric values)"
12	enumvals	text[]			"allowed values of an enum parameter (null for non-enum values)"
13	boot_val	text			"parameter value assumed at server startup if the parameter is not otherwise set"
14	reset_val	text			"value that reset would reset the parameter to in the current session"
15	sourcefile	text			"configuration file the current value was set in (null for values set from sources other than configuration files, or when examined by a non-superuser). helpful when using configuration include directives"
16	sourceline	integer			"line number within the configuration file the current value was set at (null for values set from sources other than configuration files, or when examined by a non-superuser)"
