Index	Name	Type	Nullable	References	Description
0	name	text			"run-time configuration parameter name"
1	setting	text			"current value of the parameter"
2	unit	text			"implicit unit of the parameter"
3	category	text			"logical group of the parameter"
4	short_desc	text			"a brief description of the parameter"
5	extra_desc	text			"additional, more detailed, description of the parameter"
6	context	text			"context required to set the parameter's value (see below)"
7	vartype	text			"parameter type (bool, enum, integer, real, or string)"
8	source	text			"source of the current parameter value"
9	min_val	text			"minimum allowed value of the parameter (null for non-numeric values)"
10	max_val	text			"maximum allowed value of the parameter (null for non-numeric values)"
11	enumvals	text[]			"allowed values of an enum parameter (null for non-enum values)"
12	boot_val	text			"parameter value assumed at server startup if the parameter is not otherwise set"
13	reset_val	text			"value that reset would reset the parameter to in the current session"
14	sourcefile	text			"configuration file the current value was set in (null for values set from sources other than configuration files, or when examined by a non-superuser); helpful when using include directives in configuration files"
15	sourceline	integer			"line number within the configuration file the current value was set at (null for values set from sources other than configuration files, or when examined by a non-superuser)"
16	pending_restart	boolean			"true if the value has been changed in the configuration file but needs a restart; or false otherwise."
