Index	Name	Type	Nullable	References	Description
0	oid	oid			"row identifier (hidden attribute; must be explicitly selected)"
1	datname	name			"database name"
2	datdba	oid		pg_authid.oid	"owner of the database, usually the user who created it"
3	encoding	int4			"character encoding for this database (pg_encoding_to_char() can translate this number to the encoding name)"
4	datcollate	name			"lc_collate for this database"
5	datctype	name			"lc_ctype for this database"
6	datistemplate	bool			"if true, then this database can be cloned by any user with createdb privileges; if false, then only superusers or the owner of the database can clone it."
7	datallowconn	bool			"if false then no one can connect to this database. this is used to protect the template0 database from being altered."
8	datconnlimit	int4			"sets maximum number of concurrent connections that can be made to this database. -1 means no limit."
9	datlastsysoid	oid			"last system oid in the database; useful particularly to pg_dump"
10	datfrozenxid	xid			"all transaction ids before this one have been replaced with a permanent (""frozen"") transaction id in this database. this is used to track whether the database needs to be vacuumed in order to prevent transaction id wraparound or to allow pg_clog to be shrunk. it is the minimum of the per-table pg_class.relfrozenxid values."
11	datminmxid	xid			"all multixact ids before this one have been replaced with a transaction id in this database. this is used to track whether the database needs to be vacuumed in order to prevent multixact id wraparound or to allow pg_multixact to be shrunk. it is the minimum of the per-table pg_class.relminmxid values."
12	dattablespace	oid		pg_tablespace.oid	"the default tablespace for the database. within this database, all tables for which pg_class.reltablespace is zero will be stored in this tablespace; in particular, all the non-shared system catalogs will be there."
13	datacl	aclitem[]			"access privileges; see grant and revoke for details"
