Index	Name	Type	References	Description
0	oprname	NAME			"name of the operator"
1	oprnamespace	OID		pg_namespace.oid	"the oid of the namespace that contains this operator"
2	oprowner	OID		pg_authid.oid	"owner of the operator"
3	oprkind	CHAR			"b = infix (""both""), l = prefix (""left""), r = postfix (""right"")"
4	oprcanhash	BOOL			"this operator supports hash joins"
5	oprleft	OID		pg_type.oid	"type of the left operand"
6	oprright	OID		pg_type.oid	"type of the right operand"
7	oprresult	OID		pg_type.oid	"type of the result"
8	oprcom	OID		pg_operator.oid	"commutator of this operator, if any"
9	oprnegate	OID		pg_operator.oid	"negator of this operator, if any"
10	oprlsortop	OID		pg_operator.oid	"if this operator supports merge joins, the operator that sorts the type of the left-hand operand (l<l)"
11	oprrsortop	OID		pg_operator.oid	"if this operator supports merge joins, the operator that sorts the type of the right-hand operand (r<r)"
12	oprltcmpop	OID		pg_operator.oid	"if this operator supports merge joins, the less-than operator that compares the left and right operand types (l<r)"
13	oprgtcmpop	OID		pg_operator.oid	"if this operator supports merge joins, the greater-than operator that compares the left and right operand types (l>r)"
14	oprcode	REGPROC		pg_proc.oid	"function that implements this operator"
15	oprrest	REGPROC		pg_proc.oid	"restriction selectivity estimation function for this operator"
16	oprjoin	REGPROC		pg_proc.oid	"join selectivity estimation function for this operator"
