Name	Type	References	Description
conname	name	 	Constraint name (not necessarily unique!)
connamespace	oid	pg_namespace.oid	The OID of the namespace that contains this\n constraint
contype	char	 	c = check constraint,\n f = foreign key constraint, p = primary key constraint, u = unique constraint, t = constraint trigger, x = exclusion constraint
condeferrable	bool	 	Is the constraint deferrable?
condeferred	bool	 	Is the constraint deferred by default?
convalidated	bool	 	Has the constraint been validated? Currently, can\n only be false for foreign keys and CHECK constraints
conrelid	oid	pg_class.oid	The table this constraint is on; 0 if not a table\n constraint
contypid	oid	pg_type.oid	The domain this constraint is on; 0 if not a domain\n constraint
conindid	oid	pg_class.oid	The index supporting this constraint, if it's a\n unique, primary key, foreign key, or exclusion constraint; else 0
confrelid	oid	pg_class.oid	If a foreign key, the referenced table; else 0
confupdtype	char	 	Foreign key update action code: a = no action, r\n = restrict, c = cascade, n = set null, d = set default
confdeltype	char	 	Foreign key deletion action code: a = no action, r\n = restrict, c = cascade, n = set null, d = set default
confmatchtype	char	 	Foreign key match type: f =\n full, p = partial, u = simple (unspecified)
conislocal	bool	 	This constraint is defined locally for the relation.\n Note that a constraint can be locally defined and inherited simultaneously.
coninhcount	int4	 	The number of direct inheritance ancestors this\n constraint has. A constraint with a nonzero number of ancestors cannot be dropped nor renamed.
connoinherit	bool	 	This constraint is defined locally for the relation.\n It is a non-inheritable constraint.
conkey	int2[]	pg_attribute.attnum	If a table constraint (including foreign keys, but\n not constraint triggers), list of the constrained columns
confkey	int2[]	pg_attribute.attnum	If a foreign key, list of the referenced columns
conpfeqop	oid[]	pg_operator.oid	If a foreign key, list of the equality operators for\n PK = FK comparisons
conppeqop	oid[]	pg_operator.oid	If a foreign key, list of the equality operators for\n PK = PK comparisons
conffeqop	oid[]	pg_operator.oid	If a foreign key, list of the equality operators for\n FK = FK comparisons
conexclop	oid[]	pg_operator.oid	If an exclusion constraint, list of the per-column\n exclusion operators
conbin	pg_node_tree	 	If a check constraint, an internal representation of\n the expression
consrc	text	 	If a check constraint, a human-readable\n representation of the expression
