Index	Name	Type	Nullable	References	Description
1	oid	oid			"row identifier"
2	tgrelid	oid			"the table this trigger is on"
3	tgparentid	oid			"parent trigger that this trigger is cloned from, zero if not a clone; this happens when partitions are created or attached to a partitioned table."
4	tgname	name			"trigger name (must be unique among triggers of same table)"
5	tgfoid	oid			"the function to be called"
6	tgtype	int2			"bit mask identifying trigger firing conditions"
7	tgenabled	char			"controls in which session_replication_role modes the trigger fires. o = trigger fires in ""origin"" and ""local"" modes, d = trigger is disabled, r = trigger fires in ""replica"" mode, a = trigger fires always."
8	tgisinternal	bool			"true if trigger is internally generated (usually, to enforce the constraint identified by tgconstraint)"
9	tgconstrrelid	oid			"the table referenced by a referential integrity constraint"
10	tgconstrindid	oid			"the index supporting a unique, primary key, referential integrity, or exclusion constraint"
11	tgconstraint	oid			"the pg_constraint entry associated with the trigger, if any"
12	tgdeferrable	bool			"true if constraint trigger is deferrable"
13	tginitdeferred	bool			"true if constraint trigger is initially deferred"
14	tgnargs	int2			"number of argument strings passed to trigger function"
15	tgattr	int2vector			"column numbers, if trigger is column-specific; otherwise an empty array"
16	tgargs	bytea			"argument strings to pass to trigger, each null-terminated"
17	tgqual	pg_node_tree			"expression tree (in nodetostring() representation) for the trigger's when condition, or null if none"
18	tgoldtable	name			"referencing clause name for old table, or null if none"
19	tgnewtable	name			"referencing clause name for new table, or null if none"
