Index	Name	Type	Nullable	References	Description
1	tgrelid	oid		pg_class.oid	"the table this trigger is on"
2	tgname	name			"trigger name (must be unique among triggers of same table)"
3	tgfoid	oid		pg_proc.oid	"the function to be called"
4	tgtype	int2			"bit mask identifying trigger conditions"
5	tgenabled	bool			"true if trigger is enabled (not presently checked everywhere it should be, so disabling a trigger by setting this false does not work reliably)"
6	tgisconstraint	bool			"true if trigger implements a referential integrity constraint"
7	tgconstrname	name			"referential integrity constraint name"
8	tgconstrrelid	oid		pg_class.oid	"the table referenced by an referential integrity constraint"
9	tgdeferrable	bool			"true if deferrable"
10	tginitdeferred	bool			"true if initially deferred"
11	tgnargs	int2			"number of argument strings passed to trigger function"
12	tgattr	int2vector			"currently unused"
13	tgargs	bytea			"argument strings to pass to trigger, each null-terminated"
