Index	Name	Type	Nullable	References	Description
0	amname	name			"name of the access method"
1	amstrategies	int2			"number of operator strategies for this access method"
2	amsupport	int2			"number of support routines for this access method"
3	amorderstrategy	int2			"zero if the index offers no sort order, otherwise the strategy number of the strategy operator that describes the sort order"
4	amcanunique	bool			"does the access method support unique indexes?"
5	amcanmulticol	bool			"does the access method support multicolumn indexes?"
6	amoptionalkey	bool			"does the access method support a scan without any constraint for the first index column?"
7	amindexnulls	bool			"does the access method support null index entries?"
8	amconcurrent	bool			"does the access method support concurrent updates?"
9	aminsert	regproc		pg_proc.oid	"""insert this tuple"" function"
10	ambeginscan	regproc		pg_proc.oid	"""start new scan"" function"
11	amgettuple	regproc		pg_proc.oid	"""next valid tuple"" function"
12	amgetmulti	regproc		pg_proc.oid	"""fetch multiple tuples"" function"
13	amrescan	regproc		pg_proc.oid	"""restart this scan"" function"
14	amendscan	regproc		pg_proc.oid	"""end this scan"" function"
15	ammarkpos	regproc		pg_proc.oid	"""mark current scan position"" function"
16	amrestrpos	regproc		pg_proc.oid	"""restore marked scan position"" function"
17	ambuild	regproc		pg_proc.oid	"""build new index"" function"
18	ambulkdelete	regproc		pg_proc.oid	"bulk-delete function"
19	amvacuumcleanup	regproc		pg_proc.oid	"post-vacuum cleanup function"
20	amcostestimate	regproc		pg_proc.oid	"function to estimate cost of an index scan"
