Name	Type	Nullable	References	Description
oprcanhash	bool			"this operator supports hash joins"
oprcanmerge	bool			"this operator supports merge joins"
oprcode	regproc		pg_proc.oid	"function that implements this operator"
oprcom	oid		pg_operator.oid	"commutator of this operator, if any"
oprjoin	regproc		pg_proc.oid	"join selectivity estimation function for this operator"
oprkind	char			"b = infix (""both""), l = prefix (""left""), r = postfix (""right"")"
oprleft	oid		pg_type.oid	"type of the left operand"
oprname	name			"name of the operator"
oprnamespace	oid		pg_namespace.oid	"the oid of the namespace that contains this operator"
oprnegate	oid		pg_operator.oid	"negator of this operator, if any"
oprowner	oid		pg_authid.oid	"owner of the operator"
oprrest	regproc		pg_proc.oid	"restriction selectivity estimation function for this operator"
oprresult	oid		pg_type.oid	"type of the result"
oprright	oid		pg_type.oid	"type of the right operand"
