Name	Type	Nullable	References	Description
conbin	text			"if a check constraint, an internal representation of the expression"
condeferrable	bool			"is the constraint deferrable?"
condeferred	bool			"is the constraint deferred by default?"
confdeltype	char			"foreign key deletion action code: a = no action, r = restrict, c = cascade, n = set null, d = set default"
conffeqop	oid[]		pg_operator.oid	"if a foreign key, list of the equality operators for fk = fk comparisons"
confkey	int2[]		pg_attribute.attnum	"if a foreign key, list of the referenced columns"
confmatchtype	char			"foreign key match type: f = full, p = partial, u = simple (unspecified)"
confrelid	oid		pg_class.oid	"if a foreign key, the referenced table; else 0"
confupdtype	char			"foreign key update action code: a = no action, r = restrict, c = cascade, n = set null, d = set default"
coninhcount	int4			"the number of direct ancestors this constraint has. a constraint with a nonzero number of ancestors cannot be dropped nor renamed"
conislocal	bool			"this constraint is defined locally in the relation. note that a constraint can be locally defined and inherited simultaneously"
conkey	int2[]		pg_attribute.attnum	"if a table constraint (including a foreign key), list of the constrained columns"
conname	name			"constraint name (not necessarily unique!)"
connamespace	oid		pg_namespace.oid	"the oid of the namespace that contains this constraint"
conpfeqop	oid[]		pg_operator.oid	"if a foreign key, list of the equality operators for pk = fk comparisons"
conppeqop	oid[]		pg_operator.oid	"if a foreign key, list of the equality operators for pk = pk comparisons"
conrelid	oid		pg_class.oid	"the table this constraint is on; 0 if not a table constraint"
consrc	text			"if a check constraint, a human-readable representation of the expression"
contype	char			"c = check constraint, f = foreign key constraint, p = primary key constraint, u = unique constraint"
contypid	oid		pg_type.oid	"the domain this constraint is on; 0 if not a domain constraint"
