Name	Type	Nullable	References	Description
tgargs	bytea			"argument strings to pass to trigger, each null-terminated"
tgattr	int2vector			"currently unused"
tgconstraint	oid		pg_constraint.oid	"the pg_constraint entry owning the trigger, if any"
tgconstrname	name			"constraint name, if a constraint trigger"
tgconstrrelid	oid		pg_class.oid	"the table referenced by a referential integrity constraint"
tgdeferrable	bool			"true if constraint trigger is deferrable"
tgenabled	char			"controls in which session_replication_role modes the trigger fires. o = trigger fires in ""origin"" and ""local"" modes, d = trigger is disabled, r = trigger fires in ""replica"" mode, a = trigger fires always."
tgfoid	oid		pg_proc.oid	"the function to be called"
tginitdeferred	bool			"true if constraint trigger is initially deferred"
tgisconstraint	bool			"true if trigger is a ""constraint trigger"""
tgname	name			"trigger name (must be unique among triggers of same table)"
tgnargs	int2			"number of argument strings passed to trigger function"
tgrelid	oid		pg_class.oid	"the table this trigger is on"
tgtype	int2			"bit mask identifying trigger conditions"
