Index	Name	Type	Nullable	References	Description
0	tgrelid	oid		pg_class.oid	"the table this trigger is on"
1	tgname	name			"trigger name (need not be unique)"
2	tgfoid	oid		pg_proc.oid	"the function to be called"
3	tgtype	int2			"bitmask identifying trigger conditions"
4	tgenabled	bool			"true if trigger is enabled (not presently checked everywhere it should be, so disabling a trigger by setting this false does not work reliably)"
5	tgisconstraint	bool			"true if trigger is a ri constraint"
6	tgconstrname	name			"ri constraint name"
7	tgconstrrelid	oid		pg_class.oid	"the table referenced by an ri constraint"
8	tgdeferrable	bool			"true if deferrable"
9	tginitdeferred	bool			"true if initially deferred"
10	tgnargs	int2			"number of argument strings passed to trigger function"
11	tgattr	int2vector			"currently unused"
12	tgargs	bytea			"argument strings to pass to trigger, each null-terminated"
