Name	Type	References	Description
conname	name		"constraint name (not necessarily unique!)"
connamespace	oid	pg_namespace.oid	"the oid of the namespace that contains this constraint"
contype	char		"c = check constraint, f = foreign key constraint, p = primary key constraint, u = unique constraint, t = constraint trigger, x = exclusion constraint"
condeferrable	bool		"is the constraint deferrable?"
condeferred	bool		"is the constraint deferred by default?"
conrelid	oid	pg_class.oid	"the table this constraint is on; 0 if not a table constraint"
contypid	oid	pg_type.oid	"the domain this constraint is on; 0 if not a domain constraint"
conindid	oid	pg_class.oid	"the index supporting this constraint, if it's a unique, primary key, foreign key, or exclusion constraint; else 0"
confrelid	oid	pg_class.oid	"if a foreign key, the referenced table; else 0"
confupdtype	char		"foreign key update action code: a = no action, r = restrict, c = cascade, n = set null, d = set default"
confdeltype	char		"foreign key deletion action code: a = no action, r = restrict, c = cascade, n = set null, d = set default"
confmatchtype	char		"foreign key match type: f = full, p = partial, u = simple (unspecified)"
conislocal	bool		"this constraint is defined locally for the relation. note that a constraint can be locally defined and inherited simultaneously."
coninhcount	int4		"the number of direct inheritance ancestors this constraint has. a constraint with a nonzero number of ancestors cannot be dropped nor renamed."
conkey	int2[]	pg_attribute.attnum	"if a table constraint (including foreign keys, but not constraint triggers), list of the constrained columns"
confkey	int2[]	pg_attribute.attnum	"if a foreign key, list of the referenced columns"
conpfeqop	oid[]	pg_operator.oid	"if a foreign key, list of the equality operators for pk = fk comparisons"
conppeqop	oid[]	pg_operator.oid	"if a foreign key, list of the equality operators for pk = pk comparisons"
conffeqop	oid[]	pg_operator.oid	"if a foreign key, list of the equality operators for fk = fk comparisons"
conexclop	oid[]	pg_operator.oid	"if an exclusion constraint, list of the per-column exclusion operators"
conbin	text		"if a check constraint, an internal representation of the expression"
consrc	text		"if a check constraint, a human-readable representation of the expression"
