Name	Type	Nullable	References	Description
ambeginscan	regproc		pg_proc.oid	"""start new scan"" function"
ambuild	regproc		pg_proc.oid	"""build new index"" function"
ambulkdelete	regproc		pg_proc.oid	"bulk-delete function"
amcanmulticol	bool			"does the access method support multicolumn indexes?"
amcanunique	bool			"does the access method support unique indexes?"
amclusterable	bool			"can an index of this type be clustered on?"
amcostestimate	regproc		pg_proc.oid	"function to estimate cost of an index scan"
amendscan	regproc		pg_proc.oid	"""end this scan"" function"
amgetmulti	regproc		pg_proc.oid	"""fetch multiple tuples"" function"
amgettuple	regproc		pg_proc.oid	"""next valid tuple"" function"
amindexnulls	bool			"does the access method support null index entries?"
aminsert	regproc		pg_proc.oid	"""insert this tuple"" function"
ammarkpos	regproc		pg_proc.oid	"""mark current scan position"" function"
amname	name			"name of the access method"
amoptionalkey	bool			"does the access method support a scan without any constraint for the first index column?"
amoptions	regproc		pg_proc.oid	"function to parse and validate reloptions for an index"
amorderstrategy	int2			"zero if the index offers no sort order, otherwise the strategy number of the strategy operator that describes the sort order"
amrescan	regproc		pg_proc.oid	"""restart this scan"" function"
amrestrpos	regproc		pg_proc.oid	"""restore marked scan position"" function"
amstorage	bool			"can index storage data type differ from column data type?"
amstrategies	int2			"number of operator strategies for this access method"
amsupport	int2			"number of support routines for this access method"
amvacuumcleanup	regproc		pg_proc.oid	"post-vacuum cleanup function"
