Index	Name	Type	Nullable	References	Description
1	slot_name	name			"a unique, cluster-wide identifier for the replication slot"
2	plugin	name			"the base name of the shared object containing the output plugin this logical slot is using, or null for physical slots."
3	slot_type	text			"the slot type - physical or logical"
4	datoid	oid		pg_database.oid	"the oid of the database this slot is associated with, or null. only logical slots have an associated database."
5	database	text		pg_database.datname	"the name of the database this slot is associated with, or null. only logical slots have an associated database."
6	temporary	boolean			"true if this is a temporary replication slot. temporary slots are not saved to disk and are automatically dropped on error or when the session has finished."
7	active	boolean			"true if this slot is currently actively being used"
8	active_pid	integer			"the process id of the session using this slot if the slot is currently actively being used. null if inactive."
9	xmin	xid			"the oldest transaction that this slot needs the database to retain. vacuum cannot remove tuples deleted by any later transaction."
10	catalog_xmin	xid			"the oldest transaction affecting the system catalogs that this slot needs the database to retain. vacuum cannot remove catalog tuples deleted by any later transaction."
11	restart_lsn	pg_lsn			"the address (lsn) of oldest wal which still might be required by the consumer of this slot and thus won't be automatically removed during checkpoints."
12	confirmed_flush_lsn	pg_lsn			"the address (lsn) up to which the logical slot's consumer has confirmed receiving data. data older than this is not available anymore. null for physical slots."
