Name	Type	References	Description
amname	name		"name of the access method"
amstrategies	int2		"number of operator strategies for this access method"
amsupport	int2		"number of support routines for this access method"
amorderstrategy	int2		"zero if the index offers no sort order, otherwise the strategy number of the strategy operator that describes the sort order"
amcanunique	bool		"does the access method support unique indexes?"
amcanmulticol	bool		"does the access method support multicolumn indexes?"
amoptionalkey	bool		"does the access method support a scan without any constraint for the first index column?"
amindexnulls	bool		"does the access method support null index entries?"
amconcurrent	bool		"does the access method support concurrent updates?"
aminsert	regproc	pg_proc.oid	"""insert this tuple"" function"
ambeginscan	regproc	pg_proc.oid	"""start new scan"" function"
amgettuple	regproc	pg_proc.oid	"""next valid tuple"" function"
amgetmulti	regproc	pg_proc.oid	"""fetch multiple tuples"" function"
amrescan	regproc	pg_proc.oid	"""restart this scan"" function"
amendscan	regproc	pg_proc.oid	"""end this scan"" function"
ammarkpos	regproc	pg_proc.oid	"""mark current scan position"" function"
amrestrpos	regproc	pg_proc.oid	"""restore marked scan position"" function"
ambuild	regproc	pg_proc.oid	"""build new index"" function"
ambulkdelete	regproc	pg_proc.oid	"bulk-delete function"
amvacuumcleanup	regproc	pg_proc.oid	"post-vacuum cleanup function"
amcostestimate	regproc	pg_proc.oid	"function to estimate cost of an index scan"
