tableoid	oid	false		
cmax	cid	false		
xmax	xid	false		
cmin	cid	false		
xmin	xid	false		
ctid	tid	false		
oid	oid	false		"row identifie"
conname	name	false		"constraint name (not necessarily unique!"
connamespace	oid	false		"the oid of the namespace that contains this constrain"
contype	char	false		"c = check constraint, f = foreign key constraint, p = primary key constraint, u = unique constraint, t = constraint trigger, x = exclusion constrain"
condeferrable	bool	false		"is the constraint deferrable"
condeferred	bool	false		"is the constraint deferred by default"
convalidated	bool	false		"has the constraint been validated? currently, can only be false for foreign keys and check constraint"
conrelid	oid	false		"the table this constraint is on; 0 if not a table constrain"
contypid	oid	false		"the domain this constraint is on; 0 if not a domain constrain"
conindid	oid	false		"the index supporting this constraint, if it's a unique, primary key, foreign key, or exclusion constraint; else "
conparentid	oid	false		"the corresponding constraint in the parent partitioned table, if this is a constraint in a partition; else "
confrelid	oid	false		"if a foreign key, the referenced table; else "
confupdtype	char	false		"foreign key update action code: a = no action, r = restrict, c = cascade, n = set null, d = set defaul"
confdeltype	char	false		"foreign key deletion action code: a = no action, r = restrict, c = cascade, n = set null, d = set defaul"
confmatchtype	char	false		"foreign key match type: f = full, p = partial, s = simpl"
conislocal	bool	false		"this constraint is defined locally for the relation. note that a constraint can be locally defined and inherited simultaneously"
coninhcount	int4	false		"the number of direct inheritance ancestors this constraint has. a constraint with a nonzero number of ancestors cannot be dropped nor renamed"
connoinherit	bool	false		"this constraint is defined locally for the relation. it is a non-inheritable constraint"
conkey	int2[]	true		"if a table constraint (including foreign keys, but not constraint triggers), list of the constrained column"
confkey	int2[]	true		"if a foreign key, list of the referenced column"
conpfeqop	oid[]	true		"if a foreign key, list of the equality operators for pk = fk comparison"
conppeqop	oid[]	true		"if a foreign key, list of the equality operators for pk = pk comparison"
conffeqop	oid[]	true		"if a foreign key, list of the equality operators for fk = fk comparison"
conexclop	oid[]	true		"if an exclusion constraint, list of the per-column exclusion operator"
conbin	pg_node_tree	true		"if a check constraint, an internal representation of the expression. (it's recommended to use pg_get_constraintdef() to extract the definition of a check constraint."
