Name	Type	References	Description
oprname	name		"name of the operator"
oprnamespace	oid	pg_namespace.oid	"the oid of the namespace that contains this operator"
oprowner	int4	pg_shadow.usesysid	"owner of the operator"
oprkind	char		"b = infix (""both""), l = prefix (""left""), r = postfix (""right"")"
oprcanhash	bool		"this operator supports hash joins"
oprleft	oid	pg_type.oid	"type of the left operand"
oprright	oid	pg_type.oid	"type of the right operand"
oprresult	oid	pg_type.oid	"type of the result"
oprcom	oid	pg_operator.oid	"commutator of this operator, if any"
oprnegate	oid	pg_operator.oid	"negator of this operator, if any"
oprlsortop	oid	pg_operator.oid	"if this operator supports merge joins, the operator that sorts the type of the left-hand operand (l<l)"
oprrsortop	oid	pg_operator.oid	"if this operator supports merge joins, the operator that sorts the type of the right-hand operand (r<r)"
oprltcmpop	oid	pg_operator.oid	"if this operator supports merge joins, the less-than operator that compares the left and right operand types (l<r)"
oprgtcmpop	oid	pg_operator.oid	"if this operator supports merge joins, the greater-than operator that compares the left and right operand types (l>r)"
oprcode	regproc	pg_proc.oid	"function that implements this operator"
oprrest	regproc	pg_proc.oid	"restriction selectivity estimation function for this operator"
oprjoin	regproc	pg_proc.oid	"join selectivity estimation function for this operator"
